"","Order","Family","Genus","Species","AdultBodyMass_g","BMR_mLO2hr","GestationLen_d","LitterSize","LittersPerYear","MaxLongevity_m","PopulationDensity_nkm2","SexualMaturityAge_d","TrophicLevel","GR_Area_km2","HumanPopDen_nkm2","PrecipMean_mm","TempMean_degC"
"1","Rodentia","Muridae","Abditomys","Abditomys latidens",268,NA,NA,NA,NA,NA,NA,NA,NA,357,93,316,180
"2","Rodentia","Muridae","Abrawayaomys","Abrawayaomys ruschii",63,NA,NA,NA,NA,NA,NA,NA,NA,126137,21.21,107.06,209.1
"3","Rodentia","Abrocomidae","Abrocoma","Abrocoma bennettii",251,NA,NA,4.86,NA,27.6,142,NA,NA,54616,63.15,20.44,17.66
"4","Rodentia","Abrocomidae","Abrocoma","Abrocoma boliviensis",158,NA,NA,NA,NA,NA,NA,NA,NA,5774,29.24,82.63,175.55
"5","Rodentia","Abrocomidae","Abrocoma","Abrocoma cinerea",194,NA,109.64,2.2,NA,NA,NA,NA,NA,381391,13.72,48.46,35.22
"6","Chiroptera","Pteropodidae","Acerodon","Acerodon celebensis",382,NA,NA,0.98,NA,NA,NA,NA,NA,173613,92.68,229.41,215.47
"7","Chiroptera","Pteropodidae","Acerodon","Acerodon humilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,87,109,NA,NA
"8","Chiroptera","Pteropodidae","Acerodon","Acerodon jubatus",1090,NA,NA,1,1,NA,NA,NA,1,261661,238.14,202.52,242.33
"9","Chiroptera","Pteropodidae","Acerodon","Acerodon leucotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,12832,43.33,224,249.78
"10","Chiroptera","Pteropodidae","Acerodon","Acerodon lucifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Chiroptera","Pteropodidae","Acerodon","Acerodon mackloti",464,NA,NA,0.98,NA,NA,NA,NA,1,74771,107.08,204.54,243.2
"12","Carnivora","Felidae","Acinonyx","Acinonyx jubatus",50500,17115,92.24,2.99,NA,228,0.01,636.19,3,10586307,19.88,51.26,230.83
"13","Rodentia","Muridae","Acomys","Acomys cahirinus",41.2,NA,38.54,2.43,7.6,60,2330,44.98,NA,16751936,24.33,18.25,239.4
"14","Rodentia","Muridae","Acomys","Acomys cilicicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,404,93.5,48.02,154.1
