Family,Genus,Species,AdultBodyMass,BasalMetabolicRate,GestationLength,LitterSize,LittersPerYear,MaxLongevity,SexualMaturityAge,TrophicLevel
Canidae,Alopex,Alopex_lagopus,3600,1627.2,52.99,7.29,NA,5400,255.85,3
Canidae,Atelocynus,Atelocynus_microtis,8360,NA,NA,NA,NA,3960,NA,3
Canidae,Canis,Canis_adustus,10400,NA,64.99,4.72,NA,4110,213.4,2
Canidae,Canis,Canis_aureus,9680,NA,61.24,4.24,NA,5760,323.18,2
Canidae,Canis,Canis_latrans,12000,3699,61.74,5.69,NA,7860,319.38,3
Canidae,Canis,Canis_lupus,35000,11254.2,63.24,4.97,2,10620,565.58,3
Canidae,Canis,Canis_mesomelas,8330,NA,62.5,3.64,NA,5040,204.76,2
Canidae,Canis,Canis_rufus,26700,NA,61.99,5.24,NA,7200,697.5,3
Canidae,Canis,Canis_simensis,14400,NA,63.77,NA,NA,NA,658.09,3
Canidae,Cerdocyon,Cerdocyon_thous,5740,1556.56,57.26,3.09,NA,4140,243.4,2
Canidae,Chrysocyon,Chrysocyon_brachyurus,23300,NA,63.48,2.22,NA,5400,364.99,2
Canidae,Cuon,Cuon_alpinus,15900,NA,61.49,4.39,NA,5760,320.75,3
Canidae,Dusicyon,Dusicyon_australis,NA,NA,NA,NA,NA,NA,NA,3
Canidae,Lycaon,Lycaon_pictus,22000,10259.65,71.18,7.1,NA,3960,715.98,3
Canidae,Nyctereutes,Nyctereutes_procyonoides,4220,1739.4,61.84,6.24,NA,5040,279.83,2
Canidae,Otocyon,Otocyon_megalotis,4000,NA,67.63,3.74,2,4968,364.99,3
Canidae,Pseudalopex,Pseudalopex_culpaeus,8620,NA,58.79,4.87,NA,NA,329.04,3
Canidae,Pseudalopex,Pseudalopex_griseus,6340,NA,NA,NA,NA,NA,NA,2
Canidae,Pseudalopex,Pseudalopex_gymnocercus,4540,NA,59.3,3.08,NA,4932,NA,2
Canidae,Pseudalopex,Pseudalopex_sechurae,4230,NA,NA,NA,NA,NA,NA,2
Canidae,Pseudalopex,Pseudalopex_vetulus,4230,NA,NA,3.46,NA,NA,NA,2
Canidae,Speothos,Speothos_venaticus,6320,NA,67.96,4.35,NA,3720,293.09,3
Canidae,Vulpes,Vulpes_bengalensis,2510,NA,52.39,3.5,NA,3600,NA,2
Canidae,Vulpes,Vulpes_cana,999,NA,57.5,2,NA,3600,330,2
Canidae,Vulpes,Vulpes_chama,2920,NA,52.65,2.49,NA,3600,270,2
Canidae,Vulpes,Vulpes_corsac,2620,NA,54.99,5,NA,NA,888.75,2
Canidae,Vulpes,Vulpes_ferrilata,5540,NA,54.36,3.5,NA,NA,364.99,3
Canidae,Urocyon,Urocyon_cinereoargenteus,3830,NA,61.48,3.79,NA,5400,304.16,2
Canidae,Urocyon,Urocyon_littoralis,1920,NA,53.84,2.17,NA,2880,313.49,2
Canidae,Vulpes,Vulpes_pallida,2800,NA,NA,3.99,NA,3600,NA,2
Canidae,Vulpes,Vulpes_rueppellii,3250,NA,NA,2.12,NA,NA,NA,3
Canidae,Vulpes,Vulpes_velox,2140,1114.2,53.84,4.49,NA,7200,455.87,3
Canidae,Vulpes,Vulpes_vulpes,4840,2152.8,52.49,4.59,NA,5400,279.13,3
Canidae,Vulpes,Vulpes_zerda,1320,467.97,51,2,NA,5250,255,2
Felidae,Acinonyx,Acinonyx_jubatus,50500,17115,92.24,2.99,NA,6840,636.19,3
Felidae,Caracal,Caracal_caracal,12000,NA,71.47,2.99,NA,6120,384.59,3
Felidae,Catopuma,Catopuma_badia,3430,NA,NA,NA,NA,NA,NA,NA
Felidae,Catopuma,Catopuma_temminckii,7740,NA,99.32,1.22,NA,6480,NA,3
Felidae,Felis,Felis_bieti,5490,NA,NA,NA,NA,NA,NA,NA
Felidae,Felis,Felis_chaus,7170,NA,62.88,2.94,2,4320,332.29,3
Felidae,Felis,Felis_margarita,2820,NA,63.77,4.12,NA,NA,NA,3
Felidae,Felis,Felis_nigripes,1360,NA,67.5,1.83,4,4320,251.85,3
