Year,Identity of mother,Habitat code,Habitat,Level,Height,Shade,Light,DW,DF,Disturbance,Area,Total,Max Score,Litter size,Litter size category,"structure (area, height, level)",resources (distance from food and water),"quality (shade, light)",disturbances
2,M1,UR,Urban,1,2,3,3,3,2,2,2,18,24,4,small,5,5,6,2
2,M2,UR,Urban,1,2,3,3,3,2,2,1,17,24,2,small,4,5,6,2
2,M3,UR,Urban,3,1,1,1,3,3,3,3,18,24,7,large,7,6,2,3
2,M4,UR,Urban,1,1,1,1,2,2,1,1,10,24,5,large,3,4,2,1
2,M5,UR,Urban,3,1,3,3,3,3,3,1,20,24,3,small,5,6,6,3
2,M6,UR,Urban,1,2,3,3,3,2,2,1,17,24,1,small,4,5,6,2
2,M7,UR,Urban,2,3,3,3,2,3,2,2,20,24,6,large,7,5,6,2
3,M8,UR,Urban,2,3,2,1,3,2,3,2,18,24,4,small,7,5,3,3
2,M9,UR,Urban,3,1,3,3,3,3,3,1,20,24,3,small,5,6,6,3
2,M10,UR,Urban,2,2,3,2,2,1,3,3,18,24,7,large,7,3,5,3
2,M11,UR,Urban,2,3,1,1,3,3,3,2,18,24,2,small,7,6,2,3
2,M12,UR,Urban,1,2,3,3,2,2,3,3,19,24,3,small,6,4,6,3
2,M13,UR,Urban,1,3,3,3,3,1,2,2,18,24,4,small,6,4,6,2
2,M14,UR,Urban,1,3,2,2,3,2,2,3,18,24,5,large,7,5,4,2
3,M15,UR,Urban,1,2,3,3,3,2,2,3,19,24,5,large,6,5,6,2
3,M16,UR,Urban,1,3,3,2,2,3,3,3,20,24,6,large,7,5,5,3
3,M17,UR,Urban,1,3,3,3,1,1,3,3,18,24,2,small,7,2,6,3
3,M18,UR,Urban,1,2,3,1,2,2,2,3,16,24,3,small,6,4,4,2
3,M19,UR,Urban,1,1,3,3,2,2,3,3,18,24,2,small,5,4,6,3
3,M20,UR,Urban,1,2,3,2,2,3,3,2,18,24,4,small,5,5,5,3
3,M21,UR,Urban,1,3,3,1,2,3,1,3,17,24,5,large,7,5,4,1
5,M22,UR,Urban,2,3,1,1,1,1,3,2,14,24,13,large,7,2,2,3
5,M23,UR,Urban,2,2,1,1,2,2,2,1,13,24,3,small,5,4,2,2
5,M24,UR,Urban,1,3,3,1,2,2,1,1,14,24,4,small,5,4,4,1
5,M25,UR,Urban,1,1,3,2,2,2,3,1,15,24,4,small,3,4,5,3
5,M26,UR,Urban,1,1,3,1,1,1,3,1,12,24,6,large,3,2,4,3
5,M27,UR,Urban,1,2,3,3,1,1,2,1,14,24,5,large,4,2,6,2
5,M28,UR,Urban,2,3,3,3,1,1,2,1,16,24,3,small,6,2,6,2
5,M29,UR,Urban,1,3,1,1,3,3,2,3,17,24,3,small,7,6,2,2
5,M30,UR,Urban,1,3,1,1,3,3,3,3,18,24,2,small,7,6,2,3
5,M31,UR,Urban,2,3,3,2,2,1,3,3,19,24,4,small,8,3,5,3
5,M32,UR,Urban,1,2,3,1,1,1,3,1,13,24,5,large,4,2,4,3
5,M33,UR,Urban,1,1,3,3,1,1,3,1,14,24,3,small,3,2,6,3
5,M34,RU,Rural,2,1,3,1,3,3,1,2,16,24,2,small,5,6,4,1
5,M35,UR,Urban,1,1,2,1,1,1,1,1,9,24,6,large,3,2,3,1
5,M36,UR,Urban,1,3,3,1,1,3,2,2,16,24,5,large,6,4,4,2
1,M37,SU,Semi,3,1,3,1,2,3,1,3,17,24,5,large,7,5,4,1
1,M38,SU,Semi,2,2,3,1,1,1,3,3,16,24,2,small,7,2,4,3
1,M39,SU,Semi,2,1,3,3,1,2,3,2,17,24,1,small,5,3,6,3
2,M40,SU,Semi,2,3,3,3,1,3,2,1,18,24,3,small,6,4,6,2
2,M41,SU,Semi,2,3,3,3,2,2,1,3,19,24,3,small,8,4,6,1
2,M42,SU,Semi,1,1,3,3,2,2,1,2,15,24,5,large,4,4,6,1
2,M43,SU,Semi,2,3,3,2,1,1,3,1,16,24,3,small,6,2,5,3
2,M44,SU,Semi,2,3,3,2,3,3,1,3,20,24,6,large,8,6,5,1
2,M45,SU,Semi,2,3,3,3,2,2,3,1,19,24,5,large,6,4,6,3
2,M46,SU,Semi,2,3,1,1,2,2,3,1,15,24,4,small,6,4,2,3
2,M47,SU,Semi,2,3,1,1,2,2,2,1,14,24,3,small,6,4,2,2
2,M48,SU,Semi,1,1,3,2,1,1,3,2,14,24,5,large,4,2,5,3
2,M49,SU,Semi,1,1,3,3,2,3,3,1,17,24,2,small,3,5,6,3
2,M50,SU,Semi,1,1,2,3,3,3,1,1,15,24,4,small,3,6,5,1
2,M51,SU,Semi,1,2,3,2,2,1,3,1,15,24,1,small,4,3,5,3
2,M52,SU,Semi,2,2,3,2,1,1,3,3,17,24,2,small,7,2,5,3
2,M53,SU,Semi,2,3,3,3,1,3,3,1,19,24,4,small,6,4,6,3
3,M54,SU,Semi,2,3,3,3,1,3,1,1,17,24,2,small,6,4,6,1
3,M55,SU,Semi,2,3,3,3,2,2,2,3,20,24,6,large,8,4,6,2
3,M56,SU,Semi,3,1,3,3,1,1,1,2,15,24,3,small,6,2,6,1
3,M57,SU,Semi,2,3,3,2,3,3,1,3,20,24,5,large,8,6,5,1
3,M58,SU,Semi,2,3,3,3,1,1,3,1,17,24,3,small,6,2,6,3
3,M59,SU,Semi,2,3,3,3,2,2,3,1,19,24,6,large,6,4,6,3
3,M60,SU,Semi,3,3,1,2,3,3,1,1,17,24,3,small,7,6,3,1
3,M61,SU,Semi,2,3,3,2,3,1,3,1,18,24,4,small,6,4,5,3
3,M62,SU,Semi,2,3,3,3,1,3,3,1,19,24,2,small,6,4,6,3
3,M63,SU,Semi,2,3,3,2,1,1,3,1,16,24,6,large,6,2,5,3
3,M64,SU,Semi,2,3,3,2,1,1,3,1,16,24,6,large,6,2,5,3
3,M65,SU,Semi,3,1,3,3,1,1,3,1,16,24,4,small,5,2,6,3
3,M66,SU,Semi,3,3,1,1,1,1,3,3,16,24,4,small,9,2,2,3
4,M67,SU,Semi,2,3,3,3,2,2,1,3,19,24,2,small,8,4,6,1
4,M68,SU,Semi,2,3,3,2,3,3,1,3,20,24,4,small,8,6,5,1
4,M69,SU,Semi,2,3,3,3,1,3,3,1,19,24,2,small,6,4,6,3
5,M70,SU,Semi,3,1,3,3,1,1,3,2,17,24,5,large,6,2,6,3
4,M71,SU,Semi,1,1,3,3,2,2,1,2,15,24,6,large,4,4,6,1
4,M72,SU,Semi,3,1,3,3,1,1,3,1,16,24,5,large,5,2,6,3
